,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
58,2018-10-06,Hannover 96,VfB Stuttgart,3,1,0,2,0,0,15,11,6.0,5.0,16,11,5,7,1,2,0,0,2.5,3.3,2.87,2.45,3.4,2.85,18/19,2211,2333
59,2018-10-06,1. FSV Mainz 05,Hertha BSC,0,0,1,0,0,1,23,11,3.0,1.0,12,9,5,6,0,2,0,0,2.7,3.2,2.7,2.8,3.2,2.6,18/19,2349,2390
60,2018-10-07,SC Freiburg,Bayer Leverkusen,0,0,1,0,0,1,7,14,1.0,0.0,11,12,3,4,3,1,0,0,3.4,3.4,2.14,3.4,3.4,2.15,18/19,2414,2555
61,2018-10-07,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,2,2,0,1,2,20,6,4.0,4.0,15,16,6,0,2,4,0,1,1.72,3.8,4.75,1.72,3.9,4.75,18/19,2525,2531
62,2018-10-07,RBLeipzig,1. FC Nürnberg,6,0,0,4,0,0,18,3,8.0,0.0,11,12,6,1,0,1,0,1,1.44,4.75,7.0,1.45,4.75,6.5,18/19,2638,2196
63,2018-10-19,Eintracht Frankfurt,Fortuna Düsseldorf,7,1,0,3,0,0,21,10,13.0,5.0,13,12,5,1,0,2,0,0,1.61,3.8,5.75,1.65,4.0,5.25,18/19,2531,2380
64,2018-10-20,FC Augsburg,RBLeipzig,0,0,1,0,0,1,6,15,0.0,3.0,20,24,2,2,2,5,0,0,3.0,3.5,2.3,3.1,3.5,2.25,18/19,2335,2638
65,2018-10-20,Bayer Leverkusen,Hannover 96,2,2,1,1,1,1,19,9,7.0,7.0,14,18,9,5,1,5,0,1,1.5,4.33,6.5,1.53,4.4,6.0,18/19,2555,2211
66,2018-10-20,1. FC Nürnberg,TSG 1899 Hoffenheim,1,3,2,1,0,0,7,20,2.0,12.0,8,9,1,7,4,2,0,0,3.75,3.8,1.9,3.8,3.8,1.91,18/19,2196,2525
67,2018-10-20,FC Schalke 04,Werder Bremen,0,2,2,0,1,2,14,8,4.0,3.0,13,9,3,1,1,4,0,0,2.04,3.4,3.75,2.05,3.5,3.6,18/19,2461,2492
68,2018-10-20,VfB Stuttgart,Borussia Dortmund,0,4,2,0,3,2,13,12,5.0,4.0,7,5,10,2,0,0,0,0,4.2,3.75,1.83,4.33,3.8,1.8,18/19,2333,2610
69,2018-10-20,VfL Wolfsburg,Bayern München,1,3,2,0,1,2,8,13,1.0,11.0,9,12,2,9,2,4,0,1,8.5,5.0,1.36,8.5,5.0,1.36,18/19,2471,2726
70,2018-10-21,Hertha BSC,SC Freiburg,1,1,1,1,1,1,13,8,5.0,3.0,12,14,8,3,2,0,0,0,1.85,3.6,4.33,1.87,3.6,4.2,18/19,2390,2414
71,2018-10-21,Borussia Mönchengladbach,1. FSV Mainz 05,4,0,0,1,0,0,16,13,8.0,4.0,4,10,4,6,0,2,0,0,1.61,4.33,5.0,1.6,4.2,5.25,18/19,2534,2349
72,2018-10-26,SC Freiburg,Borussia Mönchengladbach,3,1,0,1,1,1,13,11,7.0,2.0,9,12,3,10,1,1,0,0,3.5,3.6,2.0,3.4,3.6,2.1,18/19,2414,2534
73,2018-10-27,Borussia Dortmund,Hertha BSC,2,2,1,1,1,1,19,10,5.0,4.0,7,15,8,2,2,3,0,0,1.4,4.75,8.0,1.42,4.75,7.25,18/19,2610,2390
74,2018-10-27,Fortuna Düsseldorf,VfL Wolfsburg,0,3,2,0,1,2,8,18,1.0,6.0,12,11,4,9,3,6,0,0,3.0,3.4,2.37,2.95,3.4,2.4,18/19,2380,2471
75,2018-10-27,Hannover 96,FC Augsburg,1,2,2,0,1,2,17,9,4.0,4.0,15,16,5,4,2,3,0,0,2.6,3.3,2.75,2.55,3.3,2.8,18/19,2211,2335
76,2018-10-27,TSG 1899 Hoffenheim,VfB Stuttgart,4,0,0,0,0,1,22,6,10.0,0.0,11,9,6,3,1,1,0,1,1.57,4.33,5.5,1.57,4.6,5.0,18/19,2525,2333
77,2018-10-27,1. FSV Mainz 05,Bayern München,1,2,2,0,1,2,6,21,1.0,5.0,13,6,2,7,3,1,0,0,11.0,6.5,1.25,10.0,6.25,1.26,18/19,2349,2726
78,2018-10-28,1. FC Nürnberg,Eintracht Frankfurt,1,1,1,0,0,1,10,10,3.0,2.0,11,13,8,6,2,3,0,0,3.3,3.5,2.14,3.3,3.5,2.15,18/19,2196,2531
79,2018-10-28,RBLeipzig,FC Schalke 04,0,0,1,0,0,1,15,6,2.0,0.0,11,13,7,4,3,2,0,0,1.75,3.6,4.75,1.85,3.5,4.4,18/19,2638,2461
80,2018-10-28,Werder Bremen,Bayer Leverkusen,2,6,2,0,3,2,14,17,6.0,10.0,9,8,6,6,2,2,0,0,2.3,3.4,3.1,2.3,3.6,3.0,18/19,2492,2555
81,2018-11-02,VfB Stuttgart,Eintracht Frankfurt,0,3,2,0,2,2,10,15,0.0,7.0,4,10,1,3,1,2,0,0,3.0,3.5,2.3,2.9,3.5,2.4,18/19,2333,2531
82,2018-11-03,FC Augsburg,1. FC Nürnberg,2,2,1,1,0,0,17,13,4.0,5.0,16,11,6,6,3,3,0,0,1.6,3.8,6.0,1.6,4.0,5.75,18/19,2335,2196
83,2018-11-03,Bayern München,SC Freiburg,1,1,1,0,0,1,24,10,6.0,1.0,9,8,14,2,1,1,0,0,1.11,10.0,21.0,1.11,11.0,18.5,18/19,2726,2414
84,2018-11-03,Hertha BSC,RBLeipzig,0,3,2,0,1,2,12,25,5.0,11.0,6,11,3,7,2,1,0,0,3.2,3.4,2.25,3.3,3.4,2.2,18/19,2390,2638
85,2018-11-03,Bayer Leverkusen,TSG 1899 Hoffenheim,1,4,2,1,2,2,21,10,9.0,4.0,6,17,6,7,0,2,0,0,2.1,4.0,3.1,2.15,3.6,3.25,18/19,2555,2525
86,2018-11-03,FC Schalke 04,Hannover 96,3,1,0,0,0,1,16,20,6.0,6.0,10,10,7,7,2,3,0,0,1.61,3.8,6.0,1.62,3.8,5.75,18/19,2461,2211
87,2018-11-03,VfL Wolfsburg,Borussia Dortmund,0,1,2,0,1,2,13,12,3.0,1.0,6,9,6,14,0,2,0,0,3.8,3.8,1.9,3.8,3.75,1.91,18/19,2471,2610
88,2018-11-04,1. FSV Mainz 05,Werder Bremen,2,1,0,1,0,0,13,14,6.0,4.0,7,8,3,6,0,2,0,0,3.0,3.4,2.37,2.95,3.5,2.35,18/19,2349,2492
89,2018-11-04,Borussia Mönchengladbach,Fortuna Düsseldorf,3,0,0,0,0,1,21,13,7.0,6.0,15,8,10,4,1,2,0,0,1.36,4.75,8.0,1.4,4.75,8.0,18/19,2534,2380
90,2018-11-09,Hannover 96,VfL Wolfsburg,2,1,0,1,0,0,10,19,4.0,9.0,14,8,3,5,4,2,0,0,2.9,3.3,2.37,2.9,3.4,2.45,18/19,2211,2471
91,2018-11-10,Borussia Dortmund,Bayern München,3,2,0,0,1,2,11,9,5.0,3.0,4,8,0,6,3,3,0,0,3.1,3.8,2.1,3.0,3.9,2.15,18/19,2610,2726
