,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,H_ELO,A_ELO,IDX,HTGD,ATGD,HP,AP,HTTP,ATTP,HGD,AGD
1191,2016-08-27,Borussia Dortmund,1. FSV Mainz 05,2,1,0,1.36,5.0,8.5,1.36,4.6,8.25,2406,2502,1192,0,0,0,0,1,1,0,0
1192,2016-08-27,Eintracht Frankfurt,FC Schalke 04,1,0,0,3.4,3.3,2.2,3.0,3.5,2.2,2652,2437,1193,0,0,0,0,1,1,0,0
1193,2016-08-27,1. FC Köln,SV Darmstadt 98,2,0,0,1.8,3.5,4.75,1.75,3.5,4.75,2354,2445,1194,0,0,0,0,1,1,0,0
1194,2016-08-27,Hamburger SV,FC Ingolstadt 04,1,1,1,2.2,3.2,3.5,2.2,3.2,3.3,2429,2336,1195,0,0,0,0,1,1,0,0
1195,2016-08-27,Borussia Mönchengladbach,Bayer Leverkusen,2,1,0,2.3,3.4,3.1,2.25,3.4,3.0,2369,2342,1196,0,0,0,0,1,1,0,0
1196,2016-08-28,TSG 1899 Hoffenheim,RB Leipzig,2,2,1,2.5,3.25,2.9,2.6,3.1,2.75,2522,2542,1197,0,0,0,0,1,1,0,0
1197,2016-08-28,Hertha BSC,SC Freiburg,2,1,0,2.15,3.3,3.5,2.05,3.3,3.6,2367,2332,1198,0,0,0,0,1,1,0,0
1198,2016-09-09,FC Schalke 04,Bayern München,0,2,2,10.0,5.5,1.3,11.0,5.75,1.3,2435,2422,1199,1,1,0,3,14,0,-1,6
1199,2016-09-10,RB Leipzig,Borussia Dortmund,1,0,0,5.25,4.2,1.62,5.25,4.25,1.6,2431,2809,1200,1,1,1,3,8,4,0,1
1200,2016-09-10,Bayer Leverkusen,Hamburger SV,3,1,0,1.45,4.5,7.0,1.5,4.33,6.5,2360,2660,1201,1,1,0,1,12,9,-1,0
1201,2016-09-10,FC Ingolstadt 04,Hertha BSC,0,2,2,2.4,3.1,3.2,2.45,3.1,3.1,2537,2342,1202,1,1,1,3,10,3,0,1
1202,2016-09-10,SC Freiburg,Borussia Mönchengladbach,3,1,0,3.6,3.6,2.0,3.7,3.6,2.0,2341,2448,1203,1,1,0,3,11,5,-1,1
1203,2016-09-10,SV Darmstadt 98,Eintracht Frankfurt,1,0,0,3.0,3.3,2.4,3.0,3.3,2.4,2406,2510,1204,1,1,0,3,16,6,-2,1
1204,2016-09-10,VfL Wolfsburg,1. FC Köln,0,0,1,1.85,3.75,4.2,1.85,3.7,4.25,2331,2369,1205,1,1,3,3,2,1,2,2
1205,2016-09-11,1. FSV Mainz 05,TSG 1899 Hoffenheim,4,4,1,2.0,3.5,3.75,2.0,3.6,3.7,2499,2445,1206,1,1,0,1,13,7,-1,0
1206,2016-09-11,Werder Bremen,FC Augsburg,1,2,2,2.3,3.4,3.1,2.35,3.4,3.0,2454,2369,1207,1,1,0,0,17,15,-6,-2
1207,2016-09-16,1. FC Köln,SC Freiburg,3,0,0,1.8,3.6,4.5,1.8,3.75,4.4,2373,2389,1208,2,2,4,3,2,5,2,1
1208,2016-09-17,Bayern München,FC Ingolstadt 04,3,1,0,1.07,12.0,34.0,1.09,10.5,19.0,2463,2414,1209,2,2,6,1,0,15,8,-2
1209,2016-09-17,Borussia Dortmund,SV Darmstadt 98,6,0,0,1.13,9.0,21.0,1.15,7.75,13.5,2814,2324,1210,2,2,3,3,7,11,0,-1
1210,2016-09-17,Eintracht Frankfurt,Bayer Leverkusen,2,1,0,4.0,3.5,1.95,3.9,3.6,1.87,2681,2330,1211,2,2,3,3,8,6,0,1
1211,2016-09-17,Borussia Mönchengladbach,Werder Bremen,4,1,0,1.44,4.5,7.5,1.48,4.4,6.0,2386,2516,1212,2,2,3,0,9,17,-1,-7
1212,2016-09-17,TSG 1899 Hoffenheim,VfL Wolfsburg,0,0,1,3.1,3.6,2.25,2.95,3.4,2.3,2517,2363,1213,2,2,2,4,12,3,0,2
1213,2016-09-17,Hamburger SV,RB Leipzig,0,4,2,2.75,3.25,2.63,2.6,3.2,2.7,2370,2484,1214,2,2,1,4,14,4,-2,1
1214,2016-09-18,Hertha BSC,FC Schalke 04,2,0,0,2.5,3.4,2.8,2.55,3.4,2.6,2334,2363,1215,2,2,6,0,1,16,3,-3
1215,2016-09-18,FC Augsburg,1. FSV Mainz 05,1,3,2,2.38,3.4,3.0,2.15,3.5,3.1,2445,2414,1216,2,2,3,1,10,13,-1,-1
1216,2016-09-20,VfL Wolfsburg,Borussia Dortmund,1,5,2,4.75,3.75,1.75,4.6,3.9,1.75,2395,2464,1217,3,3,5,6,7,4,2,6
1217,2016-09-20,FC Ingolstadt 04,Eintracht Frankfurt,0,2,2,2.25,3.25,3.4,2.2,3.25,3.5,2471,2685,1218,3,3,1,6,14,6,-4,1
1218,2016-09-20,SC Freiburg,Hamburger SV,1,0,0,2.3,3.4,3.1,2.3,3.4,3.1,2318,2386,1219,3,3,3,1,11,15,-2,-6
1219,2016-09-20,SV Darmstadt 98,TSG 1899 Hoffenheim,1,1,1,3.5,3.5,2.1,3.6,3.4,2.1,2409,2333,1220,3,3,3,3,13,9,-7,0
1220,2016-09-21,Werder Bremen,1. FSV Mainz 05,1,2,2,3.0,3.5,2.3,3.0,3.4,2.35,2323,2380,1221,3,3,0,4,17,8,-10,1
1221,2016-09-21,Bayer Leverkusen,FC Augsburg,0,0,1,1.45,4.5,7.0,1.5,4.4,6.25,2376,2453,1222,3,3,3,3,10,12,0,-3
1222,2016-09-21,RB Leipzig,Borussia Mönchengladbach,1,1,1,2.38,3.5,3.0,2.5,3.3,2.85,2528,2402,1223,3,3,7,6,2,5,5,2
1223,2016-09-21,FC Schalke 04,1. FC Köln,1,3,2,2.1,3.4,3.6,2.1,3.5,3.5,2368,2523,1224,3,3,0,7,16,3,-5,5
1224,2016-09-21,Bayern München,Hertha BSC,3,0,0,1.14,9.0,17.0,1.14,8.75,17.5,2403,2458,1225,3,3,9,9,0,1,10,5
1225,2016-09-23,Borussia Dortmund,SC Freiburg,3,1,0,1.18,7.5,15.0,1.2,7.5,13.5,2816,2445,1226,4,4,9,6,2,8,10,-1
1226,2016-09-24,Werder Bremen,VfL Wolfsburg,2,1,0,3.9,3.75,1.91,4.0,3.8,1.95,2687,2418,1227,4,4,0,5,17,9,-11,-2
1227,2016-09-24,Borussia Mönchengladbach,FC Ingolstadt 04,2,0,0,1.8,3.6,4.75,1.75,3.75,4.75,2376,2469,1228,4,4,7,1,7,14,2,-6
1228,2016-09-24,1. FSV Mainz 05,Bayer Leverkusen,2,3,2,3.0,3.3,2.4,2.85,3.4,2.45,2518,2307,1229,4,4,7,4,6,11,2,0
1229,2016-09-24,Hamburger SV,Bayern München,0,1,2,13.0,7.0,1.2,13.0,6.5,1.22,2455,2529,1230,4,4,1,12,15,0,-7,13
1230,2016-09-24,FC Augsburg,SV Darmstadt 98,1,0,0,1.67,3.75,5.5,1.62,3.8,5.75,2324,2803,1231,4,4,4,4,12,13,-3,-7
1231,2016-09-24,Eintracht Frankfurt,Hertha BSC,3,3,1,2.25,3.2,3.4,2.4,3.3,3.0,2392,2323,1232,4,4,9,9,3,4,3,2
