,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,Season
123,2018-11-24,0,19,0.0,0.0,1.0,0.0,1.0,12.0,13.0,5.0,2.0,13.0,12.0,10.0,3.0,1.0,2.0,0.0,0.0,1.4,5.25,8.0,1.4,18/19
124,2018-11-24,14,11,3.0,1.0,0.0,0.0,0.0,18.0,13.0,9.0,2.0,19.0,12.0,4.0,4.0,0.0,3.0,0.0,0.0,2.8,3.5,2.6,2.7,18/19
125,2018-11-24,5,8,0.0,3.0,2.0,0.0,1.0,5.0,10.0,1.0,7.0,12.0,13.0,5.0,5.0,0.0,0.0,0.0,1.0,6.5,4.33,1.55,6.0,18/19
126,2018-11-24,15,18,0.0,4.0,2.0,3.0,2.0,9.0,9.0,1.0,6.0,6.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,13.0,6.5,1.25,10.5,18/19
127,2018-11-25,1,7,1.0,2.0,2.0,1.0,1.0,11.0,20.0,5.0,4.0,6.0,9.0,5.0,8.0,2.0,1.0,0.0,0.0,3.5,3.75,1.95,3.5,18/19
128,2018-11-25,6,3,0.0,2.0,2.0,1.0,2.0,12.0,14.0,3.0,6.0,9.0,8.0,3.0,5.0,1.0,2.0,0.0,0.0,1.5,4.33,8.0,1.5,18/19
129,2018-11-26,17,4,1.0,2.0,2.0,2.0,2.0,14.0,17.0,4.0,3.0,6.0,11.0,5.0,5.0,0.0,1.0,0.0,0.0,2.9,3.2,2.75,2.8,18/19
130,2018-11-30,10,6,2.0,1.0,0.0,1.0,2.0,17.0,15.0,3.0,4.0,3.0,12.0,7.0,6.0,1.0,2.0,0.0,0.0,3.8,3.25,2.2,3.5,18/19
131,2018-12-01,19,17,2.0,0.0,0.0,0.0,0.0,29.0,4.0,9.0,0.0,9.0,10.0,10.0,2.0,1.0,1.0,0.0,0.0,1.61,3.9,6.5,1.62,18/19
132,2018-12-01,3,16,1.0,2.0,2.0,1.0,1.0,7.0,14.0,2.0,6.0,10.0,12.0,2.0,6.0,0.0,2.0,1.0,0.0,2.5,3.0,3.4,2.35,18/19
