,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
615,TSG 1899 Hoffenheim,SC Freiburg,1.62,4.0,5.25,1
616,Werder Bremen,FC Schalke 04,2.8,3.4,2.4,2
617,Bayer Leverkusen,FC Augsburg,1.57,4.2,5.25,0
618,Hertha BSC,VfL Wolfsburg,3.0,3.5,2.25,0
619,Borussia Mönchengladbach,Hamburger SV,1.65,4.0,4.75,0
620,Borussia Dortmund,VfB Stuttgart,1.36,5.0,7.5,1
621,Hannover 96,1. FC Köln,2.15,3.4,3.25,0
622,1. FSV Mainz 05,TSG 1899 Hoffenheim,2.4,3.4,2.8,1
623,1. FC Köln,Bayern München,7.5,5.0,1.36,2
624,SC Freiburg,Bayer Leverkusen,4.2,3.75,1.8,1
625,SC Paderborn 07,Borussia Mönchengladbach,3.3,3.5,2.1,2
626,FC Schalke 04,Borussia Dortmund,3.4,3.6,2.05,0
627,VfB Stuttgart,Hannover 96,1.95,3.5,3.6,0
628,VfL Wolfsburg,Werder Bremen,1.5,4.33,6.0,0
629,Hamburger SV,Eintracht Frankfurt,2.05,3.5,3.4,2
630,FC Augsburg,Hertha BSC,2.05,3.5,3.4,0
631,Hertha BSC,VfB Stuttgart,2.25,3.4,3.1,0
632,Bayern München,Hannover 96,1.13,8.5,17.0,0
633,Borussia Dortmund,Hamburger SV,1.33,5.25,8.0,2
634,Eintracht Frankfurt,1. FC Köln,2.3,3.2,3.2,0
635,TSG 1899 Hoffenheim,FC Schalke 04,2.3,3.6,2.88,0
636,Bayer Leverkusen,SC Paderborn 07,1.33,5.25,8.0,1
637,Werder Bremen,SC Freiburg,2.38,3.4,2.88,1
638,VfL Wolfsburg,FC Augsburg,1.7,3.8,4.75,0
639,Borussia Mönchengladbach,1. FSV Mainz 05,1.85,3.6,4.0,1
640,Bayern München,Werder Bremen,1.1,11.0,17.0,0
641,1. FC Köln,Borussia Dortmund,5.0,4.0,1.62,0
642,SC Freiburg,VfL Wolfsburg,3.5,3.5,2.0,2
643,Hannover 96,Borussia Mönchengladbach,3.1,3.4,2.25,2
644,1. FSV Mainz 05,FC Augsburg,2.3,3.4,3.0,0
645,FC Schalke 04,Hertha BSC,1.67,3.8,5.0,0
646,VfB Stuttgart,Bayer Leverkusen,3.4,3.5,2.05,1
647,Hamburger SV,TSG 1899 Hoffenheim,2.4,3.4,2.8,1
648,SC Paderborn 07,Eintracht Frankfurt,2.5,3.4,2.7,0
649,Werder Bremen,1. FC Köln,2.55,3.4,2.63,2
650,Borussia Dortmund,Hannover 96,1.22,6.5,11.0,2
651,Eintracht Frankfurt,VfB Stuttgart,2.25,3.4,3.0,2
652,Hertha BSC,Hamburger SV,2.2,3.4,3.2,0
653,TSG 1899 Hoffenheim,SC Paderborn 07,1.62,4.33,4.75,0
654,Bayer Leverkusen,FC Schalke 04,1.67,4.1,4.5,0
655,FC Augsburg,SC Freiburg,1.83,3.6,4.2,0
656,Borussia Mönchengladbach,Bayern München,8.0,4.75,1.36,1
657,VfL Wolfsburg,1. FSV Mainz 05,1.67,3.8,5.0,0
658,FC Schalke 04,FC Augsburg,1.91,3.6,3.8,0
659,Bayern München,Borussia Dortmund,1.44,4.5,6.5,0
660,Hamburger SV,Bayer Leverkusen,3.4,3.5,2.05,0
661,Hannover 96,Eintracht Frankfurt,2.25,3.4,3.1,0
662,1. FSV Mainz 05,Werder Bremen,1.73,4.0,4.33,2
663,VfB Stuttgart,VfL Wolfsburg,3.3,3.5,2.1,2
664,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1.95,3.5,3.75,0
665,1. FC Köln,SC Freiburg,1.91,3.6,3.8,2
666,SC Paderborn 07,Hertha BSC,2.5,3.5,2.63,0
667,Hertha BSC,Hannover 96,2.05,3.4,3.5,2
668,FC Augsburg,SC Paderborn 07,1.73,3.8,4.5,0
669,Eintracht Frankfurt,Bayern München,13.0,7.0,1.18,2
670,SC Freiburg,FC Schalke 04,2.63,3.5,2.5,0
671,TSG 1899 Hoffenheim,1. FC Köln,1.8,3.8,4.0,2
672,Bayer Leverkusen,1. FSV Mainz 05,1.5,4.33,6.0,1
673,Werder Bremen,VfB Stuttgart,2.63,3.3,2.63,0
674,Borussia Dortmund,Borussia Mönchengladbach,1.57,4.33,5.0,0
675,VfL Wolfsburg,Hamburger SV,1.57,4.2,5.25,0
676,FC Schalke 04,VfL Wolfsburg,3.0,3.4,2.3,0
677,Borussia Mönchengladbach,Eintracht Frankfurt,1.36,5.0,7.5,2
678,SC Paderborn 07,Borussia Dortmund,7.0,4.75,1.4,1
679,Hannover 96,Bayer Leverkusen,3.8,3.6,1.91,2
680,Bayern München,TSG 1899 Hoffenheim,1.14,8.0,15.0,0
681,1. FSV Mainz 05,SC Freiburg,2.15,3.3,3.4,1
682,1. FC Köln,Hertha BSC,2.1,3.3,3.5,2
683,Hamburger SV,Werder Bremen,1.91,3.6,3.75,0
684,VfB Stuttgart,FC Augsburg,2.38,3.5,2.8,2
685,SC Freiburg,VfB Stuttgart,2.25,3.4,3.1,2
686,FC Augsburg,Hamburger SV,2.0,3.5,3.75,0
687,Hertha BSC,Bayern München,15.0,7.5,1.18,2
688,TSG 1899 Hoffenheim,Hannover 96,1.7,4.0,4.75,0
689,Bayer Leverkusen,1. FC Köln,1.5,4.33,6.5,0
690,FC Schalke 04,1. FSV Mainz 05,1.95,3.7,3.75,0
691,Werder Bremen,SC Paderborn 07,2.2,3.5,3.25,0
692,Eintracht Frankfurt,Borussia Dortmund,5.0,4.33,1.62,0
693,VfL Wolfsburg,Borussia Mönchengladbach,1.91,3.75,3.8,0
694,Borussia Dortmund,TSG 1899 Hoffenheim,1.5,4.6,6.0,0
695,VfB Stuttgart,FC Schalke 04,2.25,3.4,3.25,2
696,SC Paderborn 07,SC Freiburg,2.38,3.3,3.1,1
697,Borussia Mönchengladbach,Hertha BSC,1.67,3.8,5.25,0
698,Bayern München,Bayer Leverkusen,1.25,6.0,12.0,0
699,Hannover 96,VfL Wolfsburg,3.8,3.6,1.95,2
700,1. FC Köln,FC Augsburg,2.88,3.2,2.55,2
701,Eintracht Frankfurt,Werder Bremen,2.05,3.6,3.5,0
702,Hamburger SV,1. FSV Mainz 05,2.1,3.4,3.6,0
703,TSG 1899 Hoffenheim,Eintracht Frankfurt,1.85,3.9,4.0,0
704,FC Augsburg,Bayern München,9.5,5.75,1.3,2
705,SC Freiburg,Hamburger SV,2.4,3.3,3.0,1
706,Hertha BSC,Borussia Dortmund,5.5,4.0,1.62,0
707,1. FSV Mainz 05,VfB Stuttgart,2.38,3.4,3.0,1
708,FC Schalke 04,1. FC Köln,1.8,3.7,4.5,2
709,Werder Bremen,Hannover 96,2.45,3.4,2.88,1
710,VfL Wolfsburg,SC Paderborn 07,1.36,5.25,8.0,1
711,Bayer Leverkusen,Borussia Mönchengladbach,1.67,4.0,5.0,1
712,Hamburger SV,VfB Stuttgart,2.1,3.4,3.6,2
713,Bayern München,SC Freiburg,1.08,11.0,29.0,0
714,Hannover 96,FC Augsburg,2.3,3.3,3.1,0
715,1. FC Köln,1. FSV Mainz 05,2.25,3.4,3.2,1
716,Borussia Dortmund,VfL Wolfsburg,1.85,3.75,4.2,1
717,Eintracht Frankfurt,Hertha BSC,2.05,3.5,3.6,1
718,TSG 1899 Hoffenheim,Bayer Leverkusen,3.25,3.75,2.1,2
719,Borussia Mönchengladbach,Werder Bremen,1.44,4.75,7.0,0
720,SC Paderborn 07,FC Schalke 04,2.75,3.5,2.5,2
721,1. FSV Mainz 05,Bayern München,15.0,7.0,1.2,2
722,VfL Wolfsburg,1. FC Köln,1.5,4.2,7.0,0
723,Werder Bremen,Borussia Dortmund,6.5,4.33,1.5,0
724,FC Augsburg,Borussia Mönchengladbach,2.5,3.4,2.8,0
725,FC Schalke 04,Hamburger SV,1.8,3.6,4.5,1
726,Bayer Leverkusen,Eintracht Frankfurt,1.44,4.75,7.0,1
727,VfB Stuttgart,SC Paderborn 07,1.85,3.8,4.0,1
728,Hertha BSC,TSG 1899 Hoffenheim,2.5,3.4,2.8,2
729,SC Freiburg,Hannover 96,2.45,3.4,2.88,1
730,VfL Wolfsburg,Bayern München,6.5,4.33,1.5,0
731,Bayer Leverkusen,Borussia Dortmund,2.5,3.4,2.8,1
732,1. FSV Mainz 05,SC Paderborn 07,2.05,3.5,3.6,0
733,FC Schalke 04,Hannover 96,1.95,3.5,4.0,0
734,VfB Stuttgart,Borussia Mönchengladbach,3.0,3.4,2.38,2
735,SC Freiburg,Eintracht Frankfurt,2.63,3.5,2.63,0
736,Hamburger SV,1. FC Köln,2.2,3.3,3.4,2
737,FC Augsburg,TSG 1899 Hoffenheim,2.4,3.4,2.9,0
738,Werder Bremen,Hertha BSC,2.38,3.4,3.0,0
739,Bayern München,FC Schalke 04,1.13,9.0,19.0,1
740,Eintracht Frankfurt,VfL Wolfsburg,3.8,4.0,1.85,1
741,Hannover 96,1. FSV Mainz 05,2.25,3.4,3.25,1
742,Borussia Mönchengladbach,SC Freiburg,1.53,4.33,6.0,0
743,TSG 1899 Hoffenheim,Werder Bremen,1.67,4.2,4.75,2
744,Hertha BSC,Bayer Leverkusen,5.5,3.75,1.67,2
745,Borussia Dortmund,FC Augsburg,1.44,4.5,7.5,2
746,SC Paderborn 07,Hamburger SV,2.5,3.3,2.88,2
747,1. FC Köln,VfB Stuttgart,2.25,3.4,3.2,1
748,FC Schalke 04,Borussia Mönchengladbach,2.6,3.3,2.75,0
749,1. FC Köln,SC Paderborn 07,1.95,3.5,4.0,1
